Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Swimwear features (product.metafields.shopify.swimwear-features),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
annabel,Annabel,"<p>The Annabel dress in nude / brown, crafted from missoni knitwear material. A statement piece for day or evening. Perfect for evening and party. Available in sizes S, M and L. True to size.</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dresses,"Swimwear & Resortwear, drop-2-launch",false,Color,Nude,,Size,S,,,,,ANNABEL-NUDE-S,0.0,shopify,3,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/84a2408adde50547.jpg,1,,false,,,,adults,,,,,,,,,,,,,,,female,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/84a2408adde50547.jpg,g,,,draft
annabel,,,,,,,,Color,Nude,,Size,M,,,,,ANNABEL-NUDE-M,0.0,shopify,3,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/863b93d7dd846ef2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/84a2408adde50547.jpg,g,,,
annabel,,,,,,,,Color,Nude,,Size,L,,,,,ANNABEL-NUDE-L,0.0,shopify,1,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/81a56943c1a16aad.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/84a2408adde50547.jpg,g,,,
annabel,,,,,,,,Color,Brown,,Size,S,,,,,ANNABEL-BROWN-S,0.0,shopify,2,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/0e28523e3ab12115.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/a73d9ed4e17c5469.jpg,g,,,
annabel,,,,,,,,Color,Brown,,Size,M,,,,,ANNABEL-BROWN-M,0.0,shopify,2,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/6e6566543c49adbd.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/a73d9ed4e17c5469.jpg,g,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/6ffa3eeca6b5f95e.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/a73d9ed4e17c5469.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/00a7badda95eb390.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/17161e61a8456ee3.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-sq/099b81019e66db80.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
