Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Swimwear features (product.metafields.shopify.swimwear-features),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
annabel,Annabel,"<p>The Annabel dress in nude / brown, crafted from missoni knitwear material. A statement piece for day or evening. Perfect for evening and party. Available in sizes S, M and L. True to size.</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dresses,"Swimwear & Resortwear, drop-2-launch",false,Color,Nude,,Size,S,,,,,ANNABEL-NUDE-S,0.0,shopify,3,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/91e7aded696b4c26.jpg,1,,false,,,,adults,,,,,,,,,,,,,,,female,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/91e7aded696b4c26.jpg,g,,,draft
annabel,,,,,,,,Color,Nude,,Size,M,,,,,ANNABEL-NUDE-M,0.0,shopify,3,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/e4356206d5a8a141.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/91e7aded696b4c26.jpg,g,,,
annabel,,,,,,,,Color,Nude,,Size,L,,,,,ANNABEL-NUDE-L,0.0,shopify,1,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/83149a38e4b822aa.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/91e7aded696b4c26.jpg,g,,,
annabel,,,,,,,,Color,Brown,,Size,S,,,,,ANNABEL-BROWN-S,0.0,shopify,2,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/a47d84aa5496d07e.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/7670d764ff1c1976.jpg,g,,,
annabel,,,,,,,,Color,Brown,,Size,M,,,,,ANNABEL-BROWN-M,0.0,shopify,2,deny,manual,195.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/01994ce3d685297f.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/7670d764ff1c1976.jpg,g,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/b915f2565ed0.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/7670d764ff1c1976.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/257afef04c46cd67.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/59dd9ba85381.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/2121d01ccf21.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/c78c4572d8f85616.jpg,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/bef42d7cb50e.jpg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyonce,Beyonce,"<p>The Beyonce — a sculpted cut-out dress in premium Italian lycra, made in Europe. Premium Italian lycra, made in Europe. A luxury piece, true to size.</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dresses,"Swimwear & Resortwear, drop-2-launch",false,Size,S,,,,,,,,BEYONCE-S,0.0,shopify,5,deny,manual,245.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/3f76ddebeaad81fe.jpg,1,,false,,,,adults,,,,,,,,,,,,,,,female,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/3f76ddebeaad81fe.jpg,g,,,draft
beyonce,,,,,,,,Size,M,,,,,,,,BEYONCE-M,0.0,shopify,1,deny,manual,245.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/0dc631b4d8f4.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/3f76ddebeaad81fe.jpg,g,,,
beyonce,,,,,,,,Size,L,,,,,,,,BEYONCE-L,0.0,shopify,1,deny,manual,245.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/beyonce_solo.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/3f76ddebeaad81fe.jpg,g,,,
beyonce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/40048ff0d2d6.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyonce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/53481d766856.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyonce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/89f9d234932d.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyonce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/f362da42c312.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyonce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/f805c28be032.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyonce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-match-v3/fb5fb3c8333b.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
billie-cover-up,Billie Cover Up,"<p>The Billie cover-up — a breezy white robe, hand-finished, made to throw over swimwear from beach to bar. One size. Premium Italian lycra, made in Europe. A luxury piece, true to size.</p>",Pecan Moon,Apparel & Accessories > Clothing > Swimwear > Cover Ups,Cover Up,"Swimwear & Resortwear, drop-2-launch",false,Size,One Size,,,,,,,,BILLIE-COVER-UP-OS,0.0,shopify,10,deny,manual,225.00,,true,true,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/b37af9363ee887de.png,1,,false,,,,adults,,,,,,,,,,,,,,,female,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/b37af9363ee887de.png,g,,,draft
billie-cover-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2-cdn/b3a0627cef06e0c3.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
