Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Cassidy (Top),cassidy-top,"<p>The Cassidy bikini top in pink.</p><p>Color: Pink. Premium Italian lycra, made in Europe. A luxury piece, true to size.</p>",Pecan Moon,Apparel & Accessories > Clothing > Swimwear,Bikini Top,"drop-2-launch, drop-2-draft",FALSE,draft,CASSIDY-TOP-PINK-S,,Size,S,,,,,,,,140.00,,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/ef502ba50d26.jpg,1,Cassidy (Top),https://www.zappstudios.us/_tmp/pecan-drop2/ef502ba50d26.jpg,FALSE,Cassidy (Top) — Pecan Moon,"The Cassidy bikini top in pink. Color: Pink. Premium Italian lycra, made in Europe. A luxury piece, true to size.",pink,,Female,Adult,,,,New,,,,,,
,cassidy-top,,,,,,,,CASSIDY-TOP-PINK-M,,,M,,,,,,,,80.00,,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/ef502ba50d26.jpg,,,,,,,,,,,,,,,,,
,cassidy-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8558d97b9b33.jpg,2,Cassidy (Top) 2,,,,,,,,,,,,,,,,,,
,cassidy-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/a07a2a9588a0.jpg,3,Cassidy (Top) 3,,,,,,,,,,,,,,,,,,
Cassidy (Bottom),cassidy-bottom,"<p>The Cassidy bikini bottoms in pink.</p><p>Color: Pink. Premium Italian lycra, made in Europe. A luxury piece, true to size.</p>",Pecan Moon,Apparel & Accessories > Clothing > Swimwear,Bikini Bottom,"drop-2-launch, drop-2-draft",FALSE,draft,CASSIDY-BOTTOM-PINK-S,,Size,S,,,,,,,,80.00,,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/ef502ba50d26.jpg,1,Cassidy (Bottom),https://www.zappstudios.us/_tmp/pecan-drop2/ef502ba50d26.jpg,FALSE,Cassidy (Bottom) — Pecan Moon,"The Cassidy bikini bottoms in pink. Color: Pink. Premium Italian lycra, made in Europe. A luxury piece, true to size.",pink,,Female,Adult,,,,New,,,,,,
,cassidy-bottom,,,,,,,,CASSIDY-BOTTOM-PINK-M,,,M,,,,,,,,80.00,,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/ef502ba50d26.jpg,,,,,,,,,,,,,,,,,
,cassidy-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8558d97b9b33.jpg,2,Cassidy (Bottom) 2,,,,,,,,,,,,,,,,,,
,cassidy-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/a07a2a9588a0.jpg,3,Cassidy (Bottom) 3,,,,,,,,,,,,,,,,,,
Sandra Pants,sandra-pants,"<p>The Sandra pants, available in Black, Brown and White in combined S/M and M/L sizing.</p>",Pecan Moon,Apparel & Accessories > Clothing > Pants,Pants,"drop-2-launch, drop-2-draft",FALSE,draft,SANDRA-PANTS-BLACK-ML,,Color,Black,,Size,M/L,,,,,195.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/30bec03c85f7.jpg,1,Sandra Pants,https://www.zappstudios.us/_tmp/pecan-drop2/30bec03c85f7.jpg,FALSE,Sandra Pants — Pecan Moon,"The Sandra pants, available in Black, Brown and White in combined S/M and M/L sizing.",black; brown; white,,Female,Adult,,,,New,,,,,,
,sandra-pants,,,,,,,,SANDRA-PANTS-BROWN-SM,,,Brown,,,S/M,,,,,195.00,,,TRUE,,,,,,shopify,4,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/30bec03c85f7.jpg,,,,,,,,,,,,,,,,,
