Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Freedom,freedom,"<p>Easy-to-wear everyday piece, perfect for yoga and sound healing rituals.</p><p>Made from special organic cotton.</p><p><strong>Color:</strong> White</p><p><strong>Materials:</strong> 100% Natural Cotton</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Dress,"drop-2-launch, drop-2-draft",FALSE,draft,FREEDOM-WHITE-OS,,Size,One Size,,,,,,,,225.00,,,TRUE,,,,,,shopify,8,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/697744c843d9.jpg,1,Freedom,https://www.zappstudios.us/_tmp/pecan-drop2/697744c843d9.jpg,FALSE,Freedom — Pecan Moon,"Easy-to-wear everyday piece, perfect for yoga and sound healing rituals. Made from special organic cotton. Color: White Materials: 100% Natural Cotton",white,,Female,Adult,,,,New,,,,,,
,freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/046d4313ee67.jpg,2,Freedom 2,,,,,,,,,,,,,,,,,,
,freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/f584b6741b04.jpg,3,Freedom 3,,,,,,,,,,,,,,,,,,
,freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/396ff1bc9437.jpg,4,Freedom 4,,,,,,,,,,,,,,,,,,
,freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/424f62024905.jpg,5,Freedom 5,,,,,,,,,,,,,,,,,,
,freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8179cc53dc04.jpg,6,Freedom 6,,,,,,,,,,,,,,,,,,
Kitty,kitty,"<p>True to size. Made from a special crystal-embellished material.</p><p><strong>Color:</strong> Lime</p><p><strong>Materials:</strong> 80% Lycra, 20% Elastane</p>",Pecan Moon,Apparel & Accessories > Clothing > Shirts & Tops,Top,"drop-2-launch, drop-2-draft",FALSE,draft,KITTY-LIME-SM,,Size,S/M,,,,,,,,445.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/e41363d3f85d.jpg,1,Kitty,https://www.zappstudios.us/_tmp/pecan-drop2/e41363d3f85d.jpg,FALSE,Kitty — Pecan Moon,"True to size. Made from a special crystal-embellished material. Color: Lime Materials: 80% Lycra, 20% Elastane",green,,Female,Adult,,,,New,,,,,,
,kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/b4d52c133900.jpg,2,Kitty 2,,,,,,,,,,,,,,,,,,
,kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/55c41fd0b825.jpg,3,Kitty 3,,,,,,,,,,,,,,,,,,
,kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/dbdc7d7a5b70.jpg,4,Kitty 4,,,,,,,,,,,,,,,,,,
,kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/1d90ea83ce3f.jpg,5,Kitty 5,,,,,,,,,,,,,,,,,,
,kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/f04002017fc2.jpg,6,Kitty 6,,,,,,,,,,,,,,,,,,
Valeria,valeria,"<p>Available in Brown, White Lace, and Black Lace.</p><p><strong>Materials:</strong> 80% Lycra, 20% Elastane</p>",Pecan Moon,Apparel & Accessories > Clothing > Shirts & Tops,Top,"drop-2-launch, drop-2-draft",FALSE,draft,VALERIA-BROWN-XS,,Color,Brown,,Size,XS,,,,,195.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/18c5d0038fad.jpg,1,Valeria,https://www.zappstudios.us/_tmp/pecan-drop2/18c5d0038fad.jpg,FALSE,Valeria — Pecan Moon,"Available in Brown, White Lace, and Black Lace. Materials: 80% Lycra, 20% Elastane",brown; white; black,,Female,Adult,,,,New,,,,,,
,valeria,,,,,,,,VALERIA-BROWN-S,,,Brown,,,S,,,,,195.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/18c5d0038fad.jpg,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,VALERIA-WHITE-S,,,White Lace,,,S,,,,,195.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/d136c92f359f.jpg,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,VALERIA-BLACK-XS,,,Black Lace,,,XS,,,,,195.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/0efdf604f6d8.jpg,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/d136c92f359f.jpg,2,Valeria 2,,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/0efdf604f6d8.jpg,3,Valeria 3,,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/7270725aa711.jpg,4,Valeria 4,,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/678f582808dc.jpg,5,Valeria 5,,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/1b3adb18bc91.jpg,6,Valeria 6,,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/409977e57f85.jpg,7,Valeria 7,,,,,,,,,,,,,,,,,,
,valeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/cc9dba1a3592.jpg,8,Valeria 8,,,,,,,,,,,,,,,,,,
Catalina Black Lace Caftan,catalina-black-lace-caftan,"<p>Black lace caftan, one size, available in Black, Pearl, Red, and Petrol.</p>",Pecan Moon,Apparel & Accessories > Clothing > Dresses,Caftan,"drop-2-launch, drop-2-draft",FALSE,draft,CATALINA-BLACK-LACE-CAFTAN-BLACK-OS,,Color,Black,,,,,,,,425.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,,,,,FALSE,Catalina Black Lace Caftan — Pecan Moon,"Black lace caftan, one size, available in Black, Pearl, Red, and Petrol.",black; white; red; blue,,Female,Adult,,,,New,,,,,,
,catalina-black-lace-caftan,,,,,,,,CATALINA-BLACK-LACE-CAFTAN-PEARL-OS,,,Pearl,,,,,,,,425.00,,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,catalina-black-lace-caftan,,,,,,,,CATALINA-BLACK-LACE-CAFTAN-RED-OS,,,Red,,,,,,,,425.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,catalina-black-lace-caftan,,,,,,,,CATALINA-BLACK-LACE-CAFTAN-PETROL-OS,,,Petrol,,,,,,,,425.00,,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Jane Oversized Shirt,jane-oversized-shirt,"<p>Jane Oversized Shirt — an oversized shirt, one size. Available in Blue/White and Purple.</p>",Pecan Moon,Apparel & Accessories > Clothing > Shirts & Tops,Top,"drop-2-launch, drop-2-draft",FALSE,draft,JANE-OVERSIZED-SHIRT-BLUE-OS,,Color,Blue/White,,,,,,,,225.00,,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/5c8687d83af2.jpg,1,Jane Oversized Shirt,https://www.zappstudios.us/_tmp/pecan-drop2/5c8687d83af2.jpg,FALSE,Jane Oversized Shirt — Pecan Moon,"Jane Oversized Shirt — an oversized shirt, one size. Available in Blue/White and Purple.",multicolor; purple,,Female,Adult,,,,New,,,,,,
,jane-oversized-shirt,,,,,,,,JANE-OVERSIZED-SHIRT-PURPLE-OS,,,Purple,,,,,,,,225.00,,,TRUE,,,,,,shopify,4,DENY,,g,TRUE,manual,,,,https://www.zappstudios.us/_tmp/pecan-drop2/cee1e553489e.jpg,,,,,,,,,,,,,,,,,
,jane-oversized-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/cee1e553489e.jpg,2,Jane Oversized Shirt 2,,,,,,,,,,,,,,,,,,
,jane-oversized-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/0d98b8dd561b.jpg,3,Jane Oversized Shirt 3,,,,,,,,,,,,,,,,,,
,jane-oversized-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/632ac8306d18.jpg,4,Jane Oversized Shirt 4,,,,,,,,,,,,,,,,,,
,jane-oversized-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/8cab566c230d.jpg,5,Jane Oversized Shirt 5,,,,,,,,,,,,,,,,,,
,jane-oversized-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/3bb85de8a81c.jpg,6,Jane Oversized Shirt 6,,,,,,,,,,,,,,,,,,
,jane-oversized-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/e778b72963e2.jpg,7,Jane Oversized Shirt 7,,,,,,,,,,,,,,,,,,
,jane-oversized-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zappstudios.us/_tmp/pecan-drop2/f80ea1ccf37b.jpg,8,Jane Oversized Shirt 8,,,,,,,,,,,,,,,,,,
Jane Pants,jane-pants,"<p>Jane Pants — wide-leg pants. Available in White, Blue and Purple.</p>",Pecan Moon,Apparel & Accessories > Clothing > Pants,Pants,"drop-2-launch, drop-2-draft",FALSE,draft,JANE-PANTS-WHITE-S,,Color,White,,Size,S,,,,,325.00,,,TRUE,,,,,,,,CONTINUE,,g,TRUE,manual,https://www.zappstudios.us/_tmp/pecan-drop2/5c8687d83af2.jpg,1,Jane Pants,https://www.zappstudios.us/_tmp/pecan-drop2/5c8687d83af2.jpg,FALSE,Jane Pants — Pecan Moon,"Jane Pants — wide-leg pants. Available in White, Blue and Purple.",white; blue; purple,,Female,Adult,,,,New,,,,,,
